prompt,completion
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Consider alternative drug not metabolized by CYP2C19; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
"Given the following information:
- Phenotypes:
- Diplotype:
  CYP2C19: Ultrarapid Metabolizer : *17/*17

What is the drug recommendation for amitriptyline?","Avoid amitriptyline use; If amitriptyline is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
